nuclide,energy_ev,intensity,source
20f,1632731.9,0.000376998115,IAEA_Livechart_API
20f,1633553.5299999998,0.00002086989565,IAEA_Livechart_API
20f,3331669.9,0.0000000066502,IAEA_Livechart_API
20f,3332491.53,0.00000000036818,IAEA_Livechart_API
20f,4964979.9,0.0000000000382,IAEA_Livechart_API
20f,4965801.529999999,0.000000000002115,IAEA_Livechart_API
21f,3383729.9,0.000000000364262535,IAEA_Livechart_API
21f,3384551.5300000003,0.0000000000201514365,IAEA_Livechart_API
26f,1671879.9,0.00003624,IAEA_Livechart_API
26f,1672701.53,0.0000020052,IAEA_Livechart_API
26f,1796229.9000000001,0.000007199,IAEA_Livechart_API
26f,1797051.53,0.00000039882,IAEA_Livechart_API
26f,2017029.9,0.000126,IAEA_Livechart_API
26f,2017851.5299999998,0.00000699,IAEA_Livechart_API
23ne,439425.0,0.00168448,IAEA_Livechart_API
23ne,440434.0,0.000101003,IAEA_Livechart_API
23ne,440494.86000000004,0.00000226023,IAEA_Livechart_API
23ne,1635525.0,0.0000042,IAEA_Livechart_API
23ne,1636534.0,0.000000251,IAEA_Livechart_API
23ne,1636594.8599999999,0.00000000563,IAEA_Livechart_API
23ne,2075625.0,0.00000032825,IAEA_Livechart_API
23ne,2076634.0,0.000000019695,IAEA_Livechart_API
23ne,2076694.86,0.0000000004444,IAEA_Livechart_API
23ne,2540225.0,0.000000055952,IAEA_Livechart_API
23ne,2541234.0,0.00000000334367,IAEA_Livechart_API
23ne,2541294.86,0.000000000075051,IAEA_Livechart_API
23ne,2980625.0,0.0000000618786,IAEA_Livechart_API
23ne,2981634.0,0.00000000370818,IAEA_Livechart_API
23ne,2981694.86,0.00000000008316,IAEA_Livechart_API
25ne,88455.0,0.388278,IAEA_Livechart_API
25ne,89464.0,0.0234684,IAEA_Livechart_API
25ne,89524.86,0.000518022,IAEA_Livechart_API
25ne,1068225.0,0.0000296478,IAEA_Livechart_API
25ne,1069234.0,0.0000017784,IAEA_Livechart_API
25ne,1069294.8599999999,0.0000000398034,IAEA_Livechart_API
25ne,1131725.0,0.000003152,IAEA_Livechart_API
25ne,1132734.0,0.0000001892,IAEA_Livechart_API
25ne,1132794.8599999999,0.000000004236,IAEA_Livechart_API
24ne,471127.3,0.0442,IAEA_Livechart_API
24ne,472136.3,0.00267,IAEA_Livechart_API
24ne,472197.16,0.0000595,IAEA_Livechart_API
30ne,149525.0,0.468,IAEA_Livechart_API
30ne,150534.0,0.0273,IAEA_Livechart_API
30ne,150594.86000000002,0.000624,IAEA_Livechart_API
21na,2793069.9,0.0000000005436,IAEA_Livechart_API
21na,2793891.53,0.00000000003008,IAEA_Livechart_API
22na,1273666.9,0.0006356184,IAEA_Livechart_API
22na,1274488.53,0.00003517888,IAEA_Livechart_API
25na,388402.0,0.001153425,IAEA_Livechart_API
25na,389618.0,0.0000742755,IAEA_Livechart_API
25na,389702.35000000003,0.000002750475,IAEA_Livechart_API
25na,835533.0,0.0000018772,IAEA_Livechart_API
25na,836749.0,0.00000012064,IAEA_Livechart_API
25na,836833.35,0.000000004472,IAEA_Livechart_API
25na,973434.0,0.0002142335,IAEA_Livechart_API
25na,974650.0,0.000013754,IAEA_Livechart_API
25na,974734.35,0.000000509795,IAEA_Livechart_API
25na,988557.0,0.000002251392,IAEA_Livechart_API
25na,989773.0,0.0000001446016,IAEA_Livechart_API
25na,989857.35,0.00000000535808,IAEA_Livechart_API
25na,1610408.0,0.00005297643,IAEA_Livechart_API
25na,1611624.0,0.000003402243,IAEA_Livechart_API
25na,1611708.35,0.00000012594933,IAEA_Livechart_API
25na,1963193.0,0.000000608556,IAEA_Livechart_API
25na,1964409.0,0.00000003900624,IAEA_Livechart_API
25na,1964493.3499999999,0.0000000014488032,IAEA_Livechart_API
25na,2800004.0,0.000000116831,IAEA_Livechart_API
25na,2801220.0,0.00000000749892,IAEA_Livechart_API
25na,2801304.35,0.000000000278122,IAEA_Livechart_API
24na,471127.3,0.0441558,IAEA_Livechart_API
24na,472136.3,0.00266733,IAEA_Livechart_API
24na,472197.16,0.0000594405,IAEA_Livechart_API
24na,1367317.0,0.00092894426,IAEA_Livechart_API
24na,1368533.0,0.000059696418,IAEA_Livechart_API
24na,1368617.35,0.00000221086734,IAEA_Livechart_API
24na,2752700.0,0.00025366218,IAEA_Livechart_API
24na,2753916.0,0.0000162982944,IAEA_Livechart_API
24na,2754000.3499999996,0.00000060419535,IAEA_Livechart_API
24na,2869692.0,0.00000000059475,IAEA_Livechart_API
24na,2870908.0,0.000000000038175,IAEA_Livechart_API
24na,2870992.35,0.000000000001415,IAEA_Livechart_API
24na,3864842.0,0.000000103088,IAEA_Livechart_API
24na,3866058.0,0.0000000066164,IAEA_Livechart_API
24na,3866142.35,0.00000000024548,IAEA_Livechart_API
24na,4237592.0,0.0000000011172,IAEA_Livechart_API
24na,4238808.0,0.000000000071652,IAEA_Livechart_API
24na,4238892.35,0.0000000000026544,IAEA_Livechart_API
27na,1807372.0,0.0000006877,IAEA_Livechart_API
27na,1808588.0,0.0000000442,IAEA_Livechart_API
27na,1808672.35,0.0000000016367,IAEA_Livechart_API
30na,303792.0,0.0053444,IAEA_Livechart_API
30na,305008.0,0.0003441,IAEA_Livechart_API
30na,305092.35000000003,0.0000126604,IAEA_Livechart_API
30na,1481792.0,0.000363776,IAEA_Livechart_API
30na,1483008.0,0.0000233856,IAEA_Livechart_API
30na,1483092.3499999999,0.000000865824,IAEA_Livechart_API
20na,654029.9,0.00000004989,IAEA_Livechart_API
20na,654851.53,0.000000002766,IAEA_Livechart_API
20na,1632731.9,0.000298961,IAEA_Livechart_API
20na,1633553.5299999998,0.00001654991,IAEA_Livechart_API
20na,2444129.9,0.0000000134298,IAEA_Livechart_API
20na,2444951.53,0.00000000074358,IAEA_Livechart_API
20na,2612929.9,0.0000000042094,IAEA_Livechart_API
20na,2613751.53,0.00000000023296,IAEA_Livechart_API
20na,2851129.9,0.00000027678,IAEA_Livechart_API
20na,2851951.53,0.00000001533,IAEA_Livechart_API
20na,3331669.9,0.000000030007,IAEA_Livechart_API
20na,3332491.53,0.0000000016613,IAEA_Livechart_API
20na,3986429.9,0.0000000351321,IAEA_Livechart_API
20na,3987251.53,0.00000000194394,IAEA_Livechart_API
20na,4651129.9,0.00000003564,IAEA_Livechart_API
20na,4651951.53,0.0000000019734,IAEA_Livechart_API
20na,4964979.9,0.00000000016808,IAEA_Livechart_API
20na,4965801.529999999,0.000000000009306,IAEA_Livechart_API
20na,5305129.9,0.00000001856,IAEA_Livechart_API
20na,5305951.53,0.000000001028,IAEA_Livechart_API
20na,5619729.9,0.0000000030456,IAEA_Livechart_API
20na,5620551.529999999,0.00000000016873,IAEA_Livechart_API
31na,48592.0,0.26061,IAEA_Livechart_API
31na,49808.0,0.017052,IAEA_Livechart_API
31na,49892.35,0.0006216,IAEA_Livechart_API
31na,169592.0,0.0050804,IAEA_Livechart_API
31na,170808.0,0.00032604,IAEA_Livechart_API
31na,170892.35,0.0000120224,IAEA_Livechart_API
31na,219492.0,0.000874,IAEA_Livechart_API
31na,220708.0,0.0000562,IAEA_Livechart_API
