material,formula,type,chi_value_cgs
Para_Comp_1280,P1280,molar,70.48596104860695
Para_Comp_716,P716,molar,345.07598054283056
Para_Comp_1288,P1288,molar,166.09582109318094
Para_Comp_859,P859,molar,38.0066696895892
Para_Comp_1058,P1058,molar,110.57291599867935
Dia_Comp_627,D627,molar,-36.11314363840169
Para_Comp_1107,P1107,molar,293.27027320142065
Dia_Comp_1336,D1336,molar,-26.3398210329381
Para_Comp_64,P64,molar,54.76789972076766
Dia_Comp_1367,D1367,molar,-49.644547502561174
Dia_Comp_257,D257,molar,-47.86977682696604
Para_Comp_975,P975,molar,360.780519667214
Para_Comp_1074,P1074,molar,14.062128316593395
Dia_Comp_333,D333,molar,-37.52010480952946
Dia_Comp_698,D698,molar,-63.4542308057759
Dia_Comp_952,D952,molar,-51.29369811342228
Para_Comp_754,P754,molar,15.37438771210137
Para_Comp_1579,P1579,molar,148.9563060024516
Para_Comp_424,P424,molar,73.79265618236884
Para_Comp_860,P860,molar,154.32562059025764
Para_Comp_1000,P1000,molar,27.842461478793933
Para_Comp_815,P815,molar,128.487895844412
Dia_Comp_622,D622,molar,-41.25447031403821
Para_Comp_1283,P1283,molar,64.94812669955434
Para_Comp_1442,P1442,molar,121.11637255712093
Para_Comp_1085,P1085,molar,151.23916153430434
Dia_Comp_973,D973,molar,-51.40616959695401
Dia_Comp_1261,D1261,molar,-6.736933953769089
Dia_Comp_358,D358,molar,-45.4460966705372
Para_Comp_120,P120,molar,66.49694730478903
Para_Comp_1552,P1552,molar,295.8805989989606
Dia_Comp_767,D767,molar,-46.56977647821753
Para_Comp_416,P416,molar,322.92838455192435
Dia_Comp_522,D522,molar,-58.839899104614304
Para_Comp_465,P465,molar,78.0110063997884
Dia_Comp_35,D35,molar,-21.745658014950738
Para_Comp_661,P661,molar,120.36671856925143
Para_Comp_1167,P1167,molar,101.951610006744
Para_Comp_636,P636,molar,175.42945318379833
Para_Comp_1229,P1229,molar,93.75248492466362
Para_Comp_436,P436,molar,34.722982898475905
Dia_Comp_630,D630,molar,-49.52763201022652
Dia_Comp_636,D636,molar,-18.98739486049251
