material,formula,type,chi_value_cgs,provenance
Landolt_Para_Comp_1268,LP1268,molar,126.6288376026648,measured
Landolt_Para_Comp_4668,LP4668,molar,42.613114360790824,measured
Landolt_Dia_Comp_4408,LD4408,molar,-54.03470666010053,measured
Landolt_Dia_Comp_5806,LD5806,molar,-46.33001034749935,measured
Landolt_Para_Comp_4988,LP4988,molar,56.588275539234196,measured
Landolt_Para_Comp_5397,LP5397,molar,43.03036453218007,measured
Landolt_Para_Comp_4048,LP4048,molar,247.66247159889855,measured
Landolt_Para_Comp_698,LP698,molar,303.9154135222996,measured
Landolt_Dia_Comp_1644,LD1644,molar,-53.527299314616954,measured
Landolt_Dia_Comp_2502,LD2502,molar,-33.015289222261416,measured
Landolt_Dia_Comp_3072,LD3072,molar,-61.44701656367347,measured
Landolt_Para_Comp_2350,LP2350,molar,335.4533355969635,measured
Landolt_Dia_Comp_3994,LD3994,molar,-31.26599045070225,measured
Landolt_Para_Comp_4631,LP4631,molar,295.04650099739786,measured
Landolt_Dia_Comp_5730,LD5730,molar,-80.84652960013307,measured
Landolt_Para_Comp_3498,LP3498,molar,366.02864082143464,measured
Landolt_Para_Comp_5158,LP5158,molar,152.85759824370723,measured
Landolt_Dia_Comp_5840,LD5840,molar,-48.966258883983755,measured
Landolt_Para_Comp_2901,LP2901,molar,34.24701356232045,measured
Landolt_Para_Comp_2970,LP2970,molar,42.96679797823263,measured
Landolt_Para_Comp_5267,LP5267,molar,134.6743158970465,measured
Landolt_Dia_Comp_3032,LD3032,molar,-26.264176799241227,measured
Landolt_Para_Comp_4626,LP4626,molar,91.55455518769259,measured
Landolt_Dia_Comp_4429,LD4429,molar,-51.62827710533609,measured
Landolt_Para_Comp_5402,LP5402,molar,54.834347781671674,measured
Landolt_Para_Comp_5663,LP5663,molar,130.53798487680956,measured
Landolt_Para_Comp_3161,LP3161,molar,307.0438709219222,measured
Landolt_Para_Comp_3570,LP3570,molar,21.108181242004825,measured
Landolt_Para_Comp_3043,LP3043,molar,182.69584152618563,measured
Landolt_Para_Comp_3302,LP3302,molar,194.20546883029297,measured
Landolt_Para_Comp_3983,LP3983,molar,92.06535089068441,measured
Landolt_Para_Comp_3486,LP3486,molar,87.92043943066133,measured
Landolt_Dia_Comp_1774,LD1774,molar,-56.08066543780269,measured
Landolt_Dia_Comp_640,LD640,molar,-50.777121306592775,measured
Landolt_Dia_Comp_2875,LD2875,molar,-51.24671566507021,measured
Landolt_Para_Comp_3876,LP3876,molar,201.86977764412845,measured
Landolt_Para_Comp_2537,LP2537,molar,138.78524694210935,measured
Landolt_Dia_Comp_1045,LD1045,molar,-27.44048603912557,measured
Landolt_Dia_Comp_1251,LD1251,molar,-59.78282528969561,measured
Landolt_Dia_Comp_4627,LD4627,molar,-31.10959703821835,measured
Landolt_Dia_Comp_209,LD209,molar,-19.728007455380162,measured
Landolt_Dia_Comp_1104,LD1104,molar,-42.34107629264336,measured
Landolt_Para_Comp_4136,LP4136,molar,105.299209137796,measured
Landolt_Para_Comp_1813,LP1813,molar,21.644095701587688,measured
Landolt_Para_Comp_3440,LP3440,molar,170.83473043205427,measured
Landolt_Para_Comp_4411,LP4411,molar,51.991232700077305,measured
Landolt_Dia_Comp_3083,LD3083,molar,-54.34736152946597,measured
Landolt_Dia_Comp_1090,LD1090,molar,-22.28967537445792,measured
Landolt_Dia_Comp_1063,LD1063,molar,-77.55626275286693,measured
Landolt_Dia_Comp_190,LD190,molar,-40.25192449382392,measured
Landolt_Para_Comp_2912,LP2912,molar,101.16581008872464,measured
Landolt_Para_Comp_4882,LP4882,molar,86.03797596321307,measured
Landolt_Dia_Comp_2393,LD2393,molar,-76.51330769190386,measured
Landolt_Para_Comp_2919,LP2919,molar,186.77512236690245,measured
Landolt_Para_Comp_2448,LP2448,molar,64.35273421639303,measured
Landolt_Para_Comp_4368,LP4368,molar,442.8913511512016,measured
Landolt_Para_Comp_836,LP836,molar,98.06533897820276,measured
Landolt_Para_Comp_870,LP870,molar,233.4409196824229,measured
Landolt_Para_Comp_4011,LP4011,molar,220.22906002722473,measured
Landolt_Para_Comp_5410,LP5410,molar,231.39891196263468,measured
Landolt_Dia_Comp_3657,LD3657,molar,-39.4885943960314,measured
Landolt_Para_Comp_1669,LP1669,molar,263.232493045606,measured
Landolt_Dia_Comp_1451,LD1451,molar,-90.53791838478082,measured
Landolt_Para_Comp_2410,LP2410,molar,85.39107042511309,measured
Landolt_Dia_Comp_4156,LD4156,molar,-69.93318609303378,measured
Landolt_Dia_Comp_2582,LD2582,molar,-79.31168049735277,measured
Landolt_Dia_Comp_5129,LD5129,molar,-49.85054759747001,measured
Landolt_Dia_Comp_5568,LD5568,molar,-41.900394229158245,measured
Landolt_Dia_Comp_5833,LD5833,molar,-41.60959018265993,measured
Landolt_Para_Comp_13,LP13,molar,272.4473258810825,measured
Landolt_Dia_Comp_4978,LD4978,molar,-43.65703128196057,measured
Landolt_Para_Comp_1871,LP1871,molar,21.53402965552973,measured
Landolt_Para_Comp_4029,LP4029,molar,104.51970606298524,measured
Landolt_Dia_Comp_64,LD64,molar,-50.43934574243367,measured
Landolt_Para_Comp_434,LP434,molar,56.58491781019809,measured
Landolt_Dia_Comp_4964,LD4964,molar,-39.468674638945615,measured
Landolt_Para_Comp_1114,LP1114,molar,88.05901149297274,measured
Landolt_Para_Comp_3005,LP3005,molar,137.58106924371606,measured
Landolt_Para_Comp_4331,LP4331,molar,185.69205075473977,measured
Landolt_Para_Comp_886,LP886,molar,309.1117897651234,measured
Landolt_Para_Comp_1298,LP1298,molar,65.83810225425655,measured
Landolt_Dia_Comp_517,LD517,molar,-36.701312693687704,measured
Landolt_Para_Comp_2197,LP2197,molar,204.97994328544502,measured
Landolt_Para_Comp_1312,LP1312,molar,38.90420394515323,measured
Landolt_Para_Comp_3596,LP3596,molar,120.70223680224676,measured
Landolt_Para_Comp_526,LP526,molar,20.291591747999284,measured
Landolt_Para_Comp_2621,LP2621,molar,124.36592460505157,measured
Landolt_Dia_Comp_3012,LD3012,molar,-15.744025536025973,measured
Landolt_Para_Comp_1007,LP1007,molar,239.03129565597183,measured
Landolt_Dia_Comp_1354,LD1354,molar,-50.91317162990057,measured
Landolt_Dia_Comp_1891,LD1891,molar,-34.8610731983017,measured
Landolt_Dia_Comp_3909,LD3909,molar,-60.51462675700421,measured
Landolt_Para_Comp_3514,LP3514,molar,110.99020938501017,measured
Landolt_Para_Comp_4176,LP4176,molar,126.97527577111657,measured
Landolt_Dia_Comp_3327,LD3327,molar,-77.12707289012542,measured
Landolt_Para_Comp_2479,LP2479,molar,11.91799154803062,measured
Landolt_Dia_Comp_2283,LD2283,molar,-64.30024464459987,measured
Landolt_Para_Comp_3676,LP3676,molar,126.28773708944823,measured
Landolt_Dia_Comp_929,LD929,molar,-23.756279279798285,measured
Landolt_Dia_Comp_5126,LD5126,molar,-27.23927098986927,measured
Landolt_Para_Comp_867,LP867,molar,75.06854875961403,measured
Landolt_Para_Comp_5857,LP5857,molar,595.0013499327475,measured
Landolt_Para_Comp_1479,LP1479,molar,427.1635332886213,measured
Landolt_Dia_Comp_4783,LD4783,molar,-57.685333181363504,measured
Landolt_Para_Comp_4737,LP4737,molar,112.57379615826488,measured
Landolt_Dia_Comp_1172,LD1172,molar,-20.33617364490693,measured
Landolt_Dia_Comp_5509,LD5509,molar,-50.64399678818769,measured
Landolt_Para_Comp_2755,LP2755,molar,15.198687392986526,measured
Landolt_Dia_Comp_5544,LD5544,molar,-41.3888935455469,measured
Landolt_Dia_Comp_1731,LD1731,molar,-5.206588323529893,measured
Landolt_Dia_Comp_416,LD416,molar,-53.721251351524856,measured
Landolt_Dia_Comp_5220,LD5220,molar,-55.731166163680015,measured
Landolt_Para_Comp_1369,LP1369,molar,69.74180193683608,measured
Landolt_Dia_Comp_381,LD381,molar,-108.05689552356185,measured
Landolt_Para_Comp_5056,LP5056,molar,131.44585962372332,measured
Landolt_Dia_Comp_548,LD548,molar,-51.89064393569004,measured
Landolt_Dia_Comp_4472,LD4472,molar,-54.583668745751524,measured
Landolt_Dia_Comp_5148,LD5148,molar,-66.27745963557552,measured
Landolt_Dia_Comp_3136,LD3136,molar,-81.00173396067923,measured
Landolt_Dia_Comp_1333,LD1333,molar,-53.200455812205966,measured
Landolt_Dia_Comp_3745,LD3745,molar,-26.14289563304075,measured
Landolt_Para_Comp_680,LP680,molar,175.29092642707442,measured
Landolt_Dia_Comp_5455,LD5455,molar,-49.613627544593186,measured
Landolt_Para_Comp_15,LP15,molar,42.119468839683776,measured
Landolt_Para_Comp_2693,LP2693,molar,82.16713469608378,measured
Landolt_Dia_Comp_1235,LD1235,molar,-40.034874163477696,measured
Landolt_Dia_Comp_899,LD899,molar,-39.971556141576386,measured
Landolt_Dia_Comp_3258,LD3258,molar,-39.64352159908994,measured
Landolt_Dia_Comp_5778,LD5778,molar,-58.412937916427786,measured
Landolt_Para_Comp_1760,LP1760,molar,13.50089479621467,measured
Landolt_Dia_Comp_5293,LD5293,molar,-40.58812981284367,measured
Landolt_Dia_Comp_4535,LD4535,molar,-47.07142665708422,measured
Landolt_Dia_Comp_54,LD54,molar,-25.094288093604224,measured
Landolt_Dia_Comp_3453,LD3453,molar,-49.103967922723385,measured
Landolt_Para_Comp_739,LP739,molar,81.4390009744811,measured
Landolt_Para_Comp_5629,LP5629,molar,84.27715260881489,measured
Landolt_Para_Comp_5750,LP5750,molar,48.30375803303887,measured
