KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
892376,3813,4.47,0.4699,1.532,0.007,   ,7306.69,0.823,0.4503,0,291.06387,36.63581
1026146,4261,4.57,0.6472,14.891,0.12,   ,11742.56,1.405,0.7229,0,291.07007,36.7806
1026474,4122,4.56,0.5914,1.569,0.006,   ,30471.8,1.204,0.6061,0,291.14911,36.72382
1162635,3760,4.77,0.4497,15.678,0.019,   ,10207.47,0.978,0.5445,1,291.33484,36.80644
1164102,4045,4.62,0.5606,31.496,0.474,   ,5139.74,0.568,0.3939,0,291.65097,36.83684
1292688,3774,4.74,0.455,42.659,2.131,   ,6320.15,0.53,0.3172,1,290.92023,36.91717
1297303,4296,4.61,0.6613,27.333,0.193,   ,6189.53,0.777,0.5124,0,291.95847,36.99961
1429921,4217,4.72,0.6295,23.131,0.11,   ,15370.91,0.943,0.5839,0,290.83389,37.07471
1430349,4285,4.54,0.6569,34.717,0.752,   ,3244.49,0.376,0.2563,0,290.93961,37.00636
1430893,3925,4.72,0.5133,17.045,0.026,   ,13583.24,1.429,0.7204,1,291.08667,37.07256
1431060,4195,4.71,0.6206,39.682,0.849,   ,4701.32,0.458,0.2904,0,291.12814,37.03793
1431116,4341,4.61,0.6795,38.757,1.038,   ,5648.64,0.696,0.402,0,291.14099,37.05879
1432700,4305,4.6,0.665,31.733,0.263,   ,5284.55,0.619,0.4368,0,291.47934,37.04834
1432745,4354,4.59,0.6848,22.189,0.219,   ,17414.45,1.308,0.6561,0,291.48816,37.07309
1435229,4050,4.52,0.5626,23.469,0.027,   ,4784.67,0.916,0.5656,0,292.02982,37.02163
1569682,3857,4.74,0.4869,17.354,0.222,   ,4018.49,0.522,0.2989,1,290.58542,37.16436
1569863,3589,4.91,0.3862,13.321,0.369,   ,30052.33,1.576,0.7713,1,290.6265,37.14269
1570915,4055,4.56,0.5646,12.315,0.163,   ,9095.55,1.228,0.6547,0,290.86166,37.15507
1571364,4404,4.6,0.705,20.449,0.132,   ,7352.71,1.021,0.6093,0,290.96371,37.15283
1572802,3878,4.73,0.495,0.374,0.004,   ,70335.54,1.35,0.6488,1,291.29581,37.15586
1573478,4233,4.55,0.6359,18.018,0.24,   ,9514.27,0.988,0.5708,0,291.43079,37.15172
1577265,3898,4.7,0.5028,15.153,0.123,   ,10275.54,0.933,0.5224,1,292.20151,37.17714
1718071,3857,4.77,0.4869,21.712,0.202,   ,5137.03,0.555,0.3301,1,290.70587,37.24764
1721911,3705,4.81,0.429,29.62,0.124,   ,4048.94,0.978,0.5906,1,291.62067,37.22728
1722506,4270,4.43,0.6509,10.653,0.073,   ,32481.25,1.633,0.747,0,291.74109,37.2002
1849590,4070,4.4,0.5706,16.197,0.121,   ,10345.22,1.353,0.7215,0,286.2529,37.31196
1865663,4230,4.82,0.6347,31.319,0.016,   ,9731.26,0.789,0.4965,0,290.8306,37.38708
1866535,3754,4.79,0.4474,24.925,0.378,   ,3210.84,0.565,0.3473,1,291.02719,37.35209
1866924,4117,4.58,0.5894,27.24,0.277,   ,7349.79,0.839,0.5531,0,291.13229,37.35999
1866986,3832,4.52,0.4772,37.348,0.182,   ,8532.76,0.942,0.5146,0,291.14792,37.31667
1867358,3625,4.82,0.3993,32.879,0.735,   ,4835.13,0.448,0.297,1,291.24002,37.33159
1868579,4069,4.67,0.5702,38.173,0.377,   ,5494.77,0.535,0.3431,0,291.52771,37.30064
1870952,3888,4.73,0.4989,24.278,0.273,   ,8661.33,1.033,0.6339,1,292.02756,37.37908
1871120,4011,4.72,0.5472,37.851,0.463,   ,5451.74,1.004,0.5253,0,292.05914,37.31171
1872885,3688,4.32,0.4226,1.872,0.003,   ,60773.37,1.512,0.7115,0,292.4404,37.34651
