PSRJ,r_PSRJ,RAJ2000,DEJ2000,Plx,e_Plx,r_Plx,P0,e_P0,r_P0,DM,e_DM,r_DM,S400,e_S400,r_S400,Dist,DistDM,r_DistDM,Age,Edot
 , ,"h:m:s","d:m:s",mas,mas, ,s,s, ,pc/cm3,pc/cm3, ,mJy,mJy, ,kpc,kpc, ,yr,10-7W
------------,-------,-----------,-----------,------,------,-------,-----------------,--------,-------,-----------,-------,-------,-------,--------,------,-----,-----,----,-------------,--------
J0006+1834  ,cnt96  ,00 06 04.80,+18 34 59.0,      ,      ,       , 0.69374767047000, 1.4e-10,cn95   ,  12.000000,  6e-01,cn95   ,   0.20,        ,cn95  , 0.70, 0.70,tc93,    5240000.0, 2.5e+32
J0007+7303  ,aaa+09c,00 07 01.70,+73 03 07.4,      ,      ,       , 0.31587319090000, 3.0e-10,awd+12 ,           ,       ,       ,       ,        ,      , 1.40,     ,    ,      13900.0, 4.5e+35
J0014+4746  ,dth78  ,00 14 17.75,+47 46 33.4,      ,      ,       , 1.24069903894600, 1.1e-11,hlk+04 ,  30.850000,  7e-02,hlk+04 ,  14.00,  2.0000,lylg95, 1.82, 1.82,tc93,   34800000.0, 1.2e+31
J0023+0923  ,hrm+11 ,00 23 16.88,+09 23 23.9, 0.400, 0.300,mnf+15 , 0.00305000000000,        ,hrm+11 ,  14.300000,       ,hrm+11 ,   2.00,        ,hrm+11, 1.00, 0.95,tc93,             ,
J0024-7204C ,mld+90 ,00 23 50.35,-72 04 31.5,      ,      ,       , 0.00575677999551, 1.7e-16,fck+03 ,  24.599000,  2e-03,fkl+01 ,   1.53,        ,rlm+95, 4.00, 2.49,tc93,             ,
J0024-7204D ,mlr+91 ,00 24 13.88,-72 04 43.8,      ,      ,       , 0.00535757328486, 1.8e-16,fck+03 ,  24.729000,  2e-03,fkl+01 ,   0.95,        ,rlm+95, 4.00, 2.49,tc93,             ,
J0024-7204E ,mlr+91 ,00 24 11.10,-72 05 20.1,      ,      ,       , 0.00353632915276, 1.3e-16,fck+03 ,  24.230000,  2e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  569000000.0, 8.8e+34
J0024-7204F ,mlr+91 ,00 24 03.85,-72 04 42.8,      ,      ,       , 0.00262357935251, 1.4e-16,fck+03 ,  24.379000,  5e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  644000000.0, 1.4e+35
