pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_dist,disc_facility
"Kepler-1167 b","Kepler-1167",0.0175000000,,,820.90500000,"Kepler"
"Kepler-1740 b","Kepler-1740",0.0779000000,,,1061.77000000,"Kepler"
"Kepler-1581 b","Kepler-1581",0.0686500000,0.0007300000,-0.0007300000,493.17500000,"Kepler"
"Kepler-644 b","Kepler-644",0.0464100000,0.0002900000,-0.0002900000,1318.05000000,"Kepler"
"Kepler-1752 b","Kepler-1752",0.2698000000,,,962.88800000,"Kepler"
"Kepler-280 c","Kepler-280",0.0560000000,,,780.36100000,"Kepler"
"Kepler-1208 b","Kepler-1208",0.0901000000,,,825.17600000,"Kepler"
"Kepler-263 c","Kepler-263",0.2420000000,,,754.74700000,"Kepler"
"Kepler-1101 b","Kepler-1101",0.3483000000,,,742.47300000,"Kepler"
"HD 168746 b","HD 168746",0.0700000000,0.0000000000,0.0000000000,41.56810000,"La Silla Observatory"
"Kepler-560 b","Kepler-560",0.0899000000,0.0031000000,-0.0062000000,109.30800000,"Kepler"
"Kepler-150 d","Kepler-150",0.1040000000,,,891.09200000,"Kepler"
"Kepler-498 b","Kepler-498",0.0897000000,,,938.84400000,"Kepler"
"Kepler-817 b","Kepler-817",0.0493000000,,,1484.46000000,"Kepler"
"Kepler-937 b","Kepler-937",0.3214000000,,,1571.46000000,"Kepler"
"K2-10 b","K2-10",0.1370000000,0.0015000000,-0.0015000000,272.36000000,"K2"
"Kepler-571 b","Kepler-571",0.0546000000,,,723.87500000,"Kepler"
"Kepler-1458 b","Kepler-1458",0.2486900000,0.0015200000,-0.0015200000,544.45000000,"Kepler"
"Kepler-1600 c","Kepler-1600",0.0696100000,0.0007700000,-0.0007700000,1030.81000000,"Kepler"
"Kepler-221 d","Kepler-221",0.0870000000,,,385.23100000,"Kepler"
"Kepler-626 b","Kepler-626",0.1091300000,0.0008800000,-0.0008800000,635.64300000,"Kepler"
"Kepler-1549 b","Kepler-1549",0.6687000000,,,803.05200000,"Kepler"
"K2-62 c","K2-62",0.1148000000,0.0025000000,-0.0025000000,112.46700000,"K2"
"Kepler-1149 b","Kepler-1149",0.0473000000,,,1217.73000000,"Kepler"
"Kepler-1288 b","Kepler-1288",0.0413500000,0.0003300000,-0.0003300000,814.07800000,"Kepler"
"Kepler-128 b","Kepler-128",0.1254500000,0.0020600000,-0.0020600000,396.37900000,"Kepler"
"Kepler-1245 b","Kepler-1245",0.0484000000,,,805.93600000,"Kepler"
"Kepler-1068 b","Kepler-1068",0.1303800000,0.0011900000,-0.0011900000,1473.61000000,"Kepler"
"Kepler-311 c","Kepler-311",0.1450000000,,,778.65400000,"Kepler"
"Kepler-150 e","Kepler-150",0.1890000000,,,891.09200000,"Kepler"
"Kepler-272 c","Kepler-272",0.0610000000,,,889.60800000,"Kepler"
"Kepler-152 c","Kepler-152",0.3560000000,,,441.09000000,"Kepler"
"Kepler-1506 b","Kepler-1506",0.1168000000,,,2366.02000000,"Kepler"
"CoRoT-3 b","CoRoT-3",0.0578300000,0.0008500000,-0.0008500000,768.77100000,"CoRoT"
"HD 205739 b","HD 205739",0.8960000000,0.0190000000,-0.0150000000,92.50870000,"Las Campanas Observatory"
"NGTS-10 b","NGTS-10",0.0143000000,0.0010000000,-0.0010000000,324.69865036,"Next-Generation Transit Survey (NGTS)"
"HD 224693 b","HD 224693",0.1910000000,0.0140000000,-0.0140000000,93.50150000,"W. M. Keck Observatory"
"HD 156279 b","HD 156279",0.5020000000,0.0200000000,-0.0220000000,36.19450000,"Haute-Provence Observatory"
"HD 12661 b","HD 12661",0.8400000000,0.0200000000,-0.0200000000,37.84780000,"Multiple Observatories"
"HD 16417 b","HD 16417",0.1400000000,0.0100000000,-0.0100000000,25.39360000,"Anglo-Australian Telescope"
"HD 19994 b","HD 19994",1.3050000000,0.0160000000,-0.0160000000,22.52420000,"La Silla Observatory"
"HD 156279 c","HD 156279",5.4860000000,0.2190000000,-0.2400000000,36.19450000,"W. M. Keck Observatory"
"GJ 179 b","GJ 179",2.4100000000,0.0400000000,-0.0400000000,12.35600000,"W. M. Keck Observatory"
"GQ Lup b","GQ Lup",100.0000000000,,,151.16900000,"Paranal Observatory"
"GJ 832 b","GJ 832",3.7000000000,0.1000000000,-0.1000000000,4.96435000,"Anglo-Australian Telescope"
"HD 37605 b","HD 37605",0.2770000000,0.0150000000,-0.0150000000,46.78640000,"McDonald Observatory"
"HD 33283 b","HD 33283",0.1508000000,0.0087000000,-0.0087000000,89.86230000,"W. M. Keck Observatory"
"HD 9446 b","HD 9446",0.1890000000,0.0060000000,-0.0060000000,50.35030000,"Haute-Provence Observatory"
"HD 134987 c","HD 134987",5.8000000000,0.5000000000,-0.5000000000,26.18040000,"Multiple Observatories"
"HD 110014 b","HD 110014",2.1400000000,0.0300000000,-0.0300000000,100.75800000,"La Silla Observatory"
"HD 79498 b","HD 79498",2.9800000000,0.1500000000,-0.1500000000,48.94890000,"McDonald Observatory"
"HD 45652 b","HD 45652",0.2370000000,0.0110000000,-0.0110000000,34.85410000,"Haute-Provence Observatory"
"HIP 79431 b","HIP 79431",0.3600000000,,,14.53240000,"W. M. Keck Observatory"
"HD 3167 b","HD 3167",0.0179600000,0.0003700000,-0.0003100000,47.28990000,"K2"
"GJ 876 b","GJ 876",0.2083170000,0.0000200000,-0.0000200000,4.67517000,"Multiple Observatories"
"HD 114783 c","HD 114783",5.0000000000,0.1000000000,-0.1000000000,21.06280000,"W. M. Keck Observatory"
"HD 47186 c","HD 47186",2.3950000000,,,37.45740000,"La Silla Observatory"
"HD 114783 b","HD 114783",1.1600000000,0.0190000000,-0.0190000000,21.06280000,"W. M. Keck Observatory"
"HD 148156 b","HD 148156",2.4500000000,0.0400000000,-0.0500000000,57.12890000,"La Silla Observatory"
"HD 12661 c","HD 12661",2.8145000000,0.0238000000,-0.0238000000,37.84780000,"Multiple Observatories"
"HIP 14810 c","HIP 14810",0.5490000000,0.0340000000,-0.0340000000,50.48000000,"W. M. Keck Observatory"
"HIP 14810 b","HIP 14810",0.0696000000,0.0044000000,-0.0044000000,50.48000000,"W. M. Keck Observatory"
"GJ 876 d","GJ 876",0.0208066500,0.0000001500,-0.0000001500,4.67517000,"W. M. Keck Observatory"
"GJ 876 e","GJ 876",0.3343000000,0.0013000000,-0.0013000000,4.67517000,"W. M. Keck Observatory"
"gam1 Leo b","gam1 Leo",1.1900000000,0.0200000000,-0.0200000000,39.88830000,"Bohyunsan Optical Astronomical Observatory"
"HD 156411 b","HD 156411",1.8800000000,0.0300000000,-0.0400000000,56.86550000,"La Silla Observatory"
"HD 8535 b","HD 8535",2.4500000000,0.0400000000,-0.0600000000,55.44010000,"La Silla Observatory"
"HD 37605 c","HD 37605",3.7400000000,0.2100000000,-0.2100000000,46.78640000,"Multiple Observatories"
"HD 1605 c","HD 1605",3.5840000000,0.0990000000,-0.0990000000,88.80470000,"Multiple Observatories"
"BD+20 2457 b","BD+20 2457",1.4500000000,,,1539.71000000,"McDonald Observatory"
"HD 240210 b","HD 240210",1.1600000000,,,372.40500000,"McDonald Observatory"
"CoRoT-17 b","CoRoT-17",0.0461000000,0.0008000000,-0.0008000000,1176.12000000,"CoRoT"
