pl_name,hostname,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,sy_dist,disc_facility
"Kepler-1167 b","Kepler-1167",0.01120000,,,"M-R relationship",820.90500000,"Kepler"
"Kepler-1740 b","Kepler-1740",0.03470000,,,"M-R relationship",1061.77000000,"Kepler"
"Kepler-1581 b","Kepler-1581",0.00137000,,,"M-R relationship",493.17500000,"Kepler"
"Kepler-644 b","Kepler-644",0.03170000,,,"M-R relationship",1318.05000000,"Kepler"
"Kepler-1752 b","Kepler-1752",0.05900000,,,"M-R relationship",962.88800000,"Kepler"
"Kepler-280 c","Kepler-280",0.01480000,,,"M-R relationship",780.36100000,"Kepler"
"Kepler-1208 b","Kepler-1208",0.01890000,,,"M-R relationship",825.17600000,"Kepler"
"Kepler-263 c","Kepler-263",0.02100000,,,"M-R relationship",754.74700000,"Kepler"
"Kepler-1101 b","Kepler-1101",0.02100000,,,"M-R relationship",742.47300000,"Kepler"
"HD 168746 b","HD 168746",0.27000000,0.02000000,-0.02000000,"Msini",41.56810000,"La Silla Observatory"
"WASP-107 c","WASP-107",0.35000000,0.04000000,-0.04000000,"Msini",64.74140000,"Multiple Observatories"
"Kepler-560 b","Kepler-560",0.01130000,,,"M-R relationship",109.30800000,"Kepler"
"Kepler-150 d","Kepler-150",0.02580000,,,"M-R relationship",891.09200000,"Kepler"
"Kepler-498 b","Kepler-498",0.02970000,,,"M-R relationship",938.84400000,"Kepler"
"Kepler-817 b","Kepler-817",0.18900000,,,"M-R relationship",1484.46000000,"Kepler"
"Kepler-937 b","Kepler-937",0.04200000,,,"M-R relationship",1571.46000000,"Kepler"
"K2-10 b","K2-10",0.07928807,0.02642936,-0.02642936,"Mass",272.36000000,"K2"
"Kepler-571 b","Kepler-571",0.02350000,,,"M-R relationship",723.87500000,"Kepler"
"Kepler-1458 b","Kepler-1458",0.02530000,,,"M-R relationship",544.45000000,"Kepler"
"K2-335 b","K2-335",0.01740000,,,"M-R relationship",557.99300000,"K2"
"Kepler-1600 c","Kepler-1600",0.01390000,,,"M-R relationship",1030.81000000,"Kepler"
"Kepler-221 d","Kepler-221",0.01135833,0.00286318,-0.00254855,"Mass",385.23100000,"Kepler"
"Kepler-626 b","Kepler-626",0.01840000,,,"M-R relationship",635.64300000,"Kepler"
"Kepler-1549 b","Kepler-1549",0.02240000,,,"M-R relationship",803.05200000,"Kepler"
"K2-62 c","K2-62",0.01450000,,,"M-R relationship",112.46700000,"K2"
"Kepler-1149 b","Kepler-1149",0.00839000,,,"M-R relationship",1217.73000000,"Kepler"
"Kepler-1288 b","Kepler-1288",0.00459000,,,"M-R relationship",814.07800000,"Kepler"
"Kepler-128 b","Kepler-128",0.01192467,0.00239123,-0.00207659,"Mass",396.37900000,"Kepler"
"Kepler-1245 b","Kepler-1245",0.00839000,,,"M-R relationship",805.93600000,"Kepler"
"Kepler-1068 b","Kepler-1068",0.04030000,,,"M-R relationship",1473.61000000,"Kepler"
"Kepler-311 c","Kepler-311",0.00829000,,,"M-R relationship",778.65400000,"Kepler"
"Kepler-150 e","Kepler-150",0.03120000,,,"M-R relationship",891.09200000,"Kepler"
"Kepler-272 c","Kepler-272",0.30800000,0.17500000,-0.10700000,"Mass",889.60800000,"Kepler"
"Kepler-152 c","Kepler-152",0.01980000,,,"M-R relationship",441.09000000,"Kepler"
"Kepler-1506 b","Kepler-1506",0.00724000,,,"M-R relationship",2366.02000000,"Kepler"
"CoRoT-3 b","CoRoT-3",21.66000000,1.00000000,-1.00000000,"Mass",768.77100000,"CoRoT"
"HD 205739 b","HD 205739",1.37000000,0.07000000,-0.09000000,"Msini",92.50870000,"Las Campanas Observatory"
"NGTS-10 b","NGTS-10",2.16200000,0.09200000,-0.10700000,"Mass",324.69865036,"Next-Generation Transit Survey (NGTS)"
"HD 224693 b","HD 224693",0.70000000,0.12000000,-0.12000000,"Msini",93.50150000,"W. M. Keck Observatory"
"HD 156279 b","HD 156279",9.43200000,0.76200000,-0.80100000,"Msini",36.19450000,"Haute-Provence Observatory"
"HD 12661 b","HD 12661",2.43000000,0.14000000,-0.14000000,"Msini",37.84780000,"Multiple Observatories"
"HD 16417 b","HD 16417",0.06960000,0.00630000,-0.00630000,"Msini",25.39360000,"Anglo-Australian Telescope"
"HD 19994 b","HD 19994",1.37000000,0.12000000,-0.12000000,"Msini",22.52420000,"La Silla Observatory"
"HD 156279 c","HD 156279",9.75000000,1.31900000,-0.60500000,"Mass",36.19450000,"W. M. Keck Observatory"
"GJ 179 b","GJ 179",0.95000000,0.16000000,-0.11000000,"Mass",12.35600000,"W. M. Keck Observatory"
"GQ Lup b","GQ Lup",20.00000000,,,"Mass",151.16900000,"Paranal Observatory"
"GJ 832 b","GJ 832",0.99000000,0.09000000,-0.08000000,"Mass",4.96435000,"Anglo-Australian Telescope"
"HD 37605 b","HD 37605",2.69000000,0.30000000,-0.30000000,"Msini",46.78640000,"McDonald Observatory"
"HD 33283 b","HD 33283",0.32900000,0.07100000,-0.07100000,"Msini",89.86230000,"W. M. Keck Observatory"
"HD 9446 b","HD 9446",0.70000000,0.06000000,-0.06000000,"Msini",50.35030000,"Haute-Provence Observatory"
"HD 134987 c","HD 134987",0.82000000,0.03000000,-0.03000000,"Msini",26.18040000,"Multiple Observatories"
"HD 110014 b","HD 110014",11.09000000,1.00000000,-1.00000000,"Msini",100.75800000,"La Silla Observatory"
"HD 79498 b","HD 79498",1.34000000,0.21000000,-0.21000000,"Msini",48.94890000,"McDonald Observatory"
"HD 45652 b","HD 45652",0.43300000,0.07600000,-0.07600000,"Msini",34.85410000,"Haute-Provence Observatory"
"HIP 79431 b","HIP 79431",2.10000000,,,"Msini",14.53240000,"W. M. Keck Observatory"
"HD 3167 b","HD 3167",0.01563737,0.00075512,-0.00072366,"Mass",47.28990000,"K2"
"GJ 876 b","GJ 876",2.27560000,0.00450000,-0.00450000,"Mass",4.67517000,"Multiple Observatories"
"HD 114783 c","HD 114783",1.90000000,0.50000000,-0.40000000,"Mass",21.06280000,"W. M. Keck Observatory"
"HD 47186 c","HD 47186",0.35061000,,,"Msini",37.45740000,"La Silla Observatory"
"HD 114783 b","HD 114783",1.10000000,0.06000000,-0.06000000,"Msini",21.06280000,"W. M. Keck Observatory"
"HD 148156 b","HD 148156",0.85000000,0.67000000,-0.05000000,"Msini",57.12890000,"La Silla Observatory"
"HD 12661 c","HD 12661",2.83000000,0.82000000,-0.67000000,"Mass",37.84780000,"Multiple Observatories"
"HIP 14810 c","HIP 14810",1.31000000,0.18000000,-0.18000000,"Msini",50.48000000,"W. M. Keck Observatory"
"HIP 14810 b","HIP 14810",3.90000000,0.49000000,-0.49000000,"Msini",50.48000000,"W. M. Keck Observatory"
"GJ 876 d","GJ 876",0.02100000,0.00100000,-0.00100000,"Mass",4.67517000,"W. M. Keck Observatory"
"GJ 876 e","GJ 876",0.04600000,0.00500000,-0.00500000,"Mass",4.67517000,"W. M. Keck Observatory"
"gam1 Leo b","gam1 Leo",8.78000000,1.00000000,-1.00000000,"Msini",39.88830000,"Bohyunsan Optical Astronomical Observatory"
"HD 156411 b","HD 156411",0.74000000,0.05000000,-0.04000000,"Msini",56.86550000,"La Silla Observatory"
"HD 8535 b","HD 8535",0.68000000,0.07000000,-0.04000000,"Msini",55.44010000,"La Silla Observatory"
"HD 37605 c","HD 37605",3.19000000,0.38000000,-0.38000000,"Msini",46.78640000,"Multiple Observatories"
"HD 1605 c","HD 1605",3.62000000,0.23000000,-0.23000000,"Msini",88.80470000,"Multiple Observatories"
"BD+20 2457 b","BD+20 2457",21.42000000,,,"Msini",1539.71000000,"McDonald Observatory"
"HD 240210 b","HD 240210",5.21000000,,,"Msini",372.40500000,"McDonald Observatory"
"CoRoT-17 b","CoRoT-17",2.43000000,0.30000000,-0.30000000,"Mass",1176.12000000,"CoRoT"
"HD 132563 b","HD 132563",1.49000000,0.09000000,-0.09000000,"Msini",105.15500000,"Roque de los Muchachos Observatory"
"HD 55696 b","HD 55696",4.27000000,1.00000000,-0.69000000,"Mass",77.96930000,"W. M. Keck Observatory"
"HD 148164 b","HD 148164",1.23000000,0.25000000,-0.25000000,"Msini",77.19710000,"W. M. Keck Observatory"
"24 Sex c","24 Sex",0.86000000,0.35000000,-0.22000000,"Msini",72.06910000,"Lick Observatory"
"HD 22781 b","HD 22781",13.65000000,0.97000000,-0.97000000,"Msini",32.60340000,"Haute-Provence Observatory"
"HD 68988 b","HD 68988",1.97000000,0.10000000,-0.10000000,"Msini",60.84470000,"Multiple Observatories"
"HD 148164 c","HD 148164",5.16000000,0.82000000,-0.82000000,"Msini",77.19710000,"W. M. Keck Observatory"
"HD 29985 b","HD 29985",5.47300000,1.94400000,-1.15700000,"Mass",31.27070000,"Multiple Observatories"
"HD 3167 c","HD 3167",0.03501890,0.00245415,-0.00232830,"Mass",47.28990000,"K2"
"HD 90156 b","HD 90156",0.05700000,0.00500000,-0.00500000,"Msini",21.94960000,"La Silla Observatory"
"HD 45350 b","HD 45350",1.79000000,0.14000000,-0.14000000,"Msini",46.87330000,"W. M. Keck Observatory"
"MOA-2009-BLG-266L b","MOA-2009-BLG-266L",0.03270000,0.00530000,-0.00530000,"Mass",3040.00000000,"MOA"
"Kepler-595 c","Kepler-595",0.01038291,0.00534877,-0.00314634,"Mass",643.00900000,"Kepler"
"Kepler-595 b","Kepler-595",0.05474625,0.02233899,-0.01195608,"Mass",643.00900000,"Kepler"
"HD 177830 c","HD 177830",0.15000000,0.02000000,-0.02000000,"Msini",62.76740000,"W. M. Keck Observatory"
"OGLE-TR-111 b","OGLE-TR-111",0.55000000,0.10000000,-0.10000000,"Mass",1068.33000000,"OGLE"
"PSR B1257+12 b","PSR B1257+12",0.00006293,0.00000629,-0.00000629,"Mass",600.00000000,"Arecibo Observatory"
"PSR B1257+12 d","PSR B1257+12",0.01227071,0.00062927,-0.00062927,"Mass",600.00000000,"Arecibo Observatory"
"MOA-2007-BLG-192L b","MOA-2007-BLG-192L",0.01000000,0.01500000,-0.00500000,"Mass",1000.00000000,"MOA"
"CoRoT-18 b","CoRoT-18",3.47000000,0.38000000,-0.38000000,"Mass",764.88900000,"CoRoT"
"Kepler-45 b","Kepler-45",0.50500000,0.09000000,-0.09000000,"Mass",381.94900000,"Kepler"
"WASP-23 b","WASP-23",0.88400000,0.08800000,-0.09900000,"Mass",207.49000000,"SuperWASP"
"HD 107148 b","HD 107148",0.21000000,0.03600000,-0.03600000,"Msini",49.41560000,"W. M. Keck Observatory"
"SWEEPS-11 b","SWEEPS-11",9.70000000,5.60000000,-4.50000000,"Mass",8500.00000000,"Hubble Space Telescope"
"OGLE-TR-211 b","OGLE-TR-211",1.03000000,0.20000000,-0.20000000,"Mass",1515.26000000,"OGLE"
"Lupus-TR-3 b","Lupus-TR-3",0.81000000,0.18000000,-0.18000000,"Mass",773.40900000,"Multiple Observatories"
"OGLE-2005-BLG-390L b","OGLE-2005-BLG-390L",0.01700000,0.01700000,-0.00900000,"Mass",6600.00000000,"OGLE"
