lake_a,lake_b,mean_pinch
planck,planck,0.000000e+00
planck,t1,1.414214e-99
planck,t2,1.414214e-99
planck,t3,1.414214e-99
planck,t4,1.414214e-99
planck,n1,1.414214e-99
planck,n2,1.414214e-99
planck,n3,1.414214e-99
planck,n4,1.414214e-99
planck,b1,1.414214e-99
planck,b2,1.414214e-99
planck,b3,1.414214e-99
planck,chem,2.488547e-01
planck,mat,3.634113e+00
planck,frb,1.414214e-99
planck,closure,7.202531e+00

t1,planck,1.414214e-99
t1,t1,0.000000e+00
t1,t2,0.000000e+00
t1,t3,0.000000e+00
t1,t4,0.000000e+00
t1,n1,0.000000e+00
t1,n2,0.000000e+00
t1,n3,0.000000e+00
t1,n4,0.000000e+00
t1,b1,0.000000e+00
t1,b2,0.000000e+00
t1,b3,0.000000e+00
t1,chem,2.488547e-01
t1,mat,3.634113e+00
t1,frb,0.000000e+00
t1,closure,7.202531e+00

t2,planck,1.414214e-99
t2,t1,0.000000e+00
t2,t2,0.000000e+00
t2,t3,0.000000e+00
t2,t4,0.000000e+00
t2,n1,0.000000e+00
t2,n2,0.000000e+00
t2,n3,0.000000e+00
t2,n4,0.000000e+00
t2,b1,0.000000e+00
t2,b2,0.000000e+00
t2,b3,0.000000e+00
t2,chem,2.488547e-01
t2,mat,3.634113e+00
t2,frb,0.000000e+00
t2,closure,7.202531e+00

t3,planck,1.414214e-99
t3,t1,0.000000e+00
t3,t2,0.000000e+00
t3,t3,0.000000e+00
t3,t4,0.000000e+00
t3,n1,0.000000e+00
t3,n2,0.000000e+00
t3,n3,0.000000e+00
t3,n4,0.000000e+00
t3,b1,0.000000e+00
t3,b2,0.000000e+00
t3,b3,0.000000e+00
t3,chem,2.488547e-01
t3,mat,3.634113e+00
t3,frb,0.000000e+00
t3,closure,7.202531e+00

t4,planck,1.414214e-99
t4,t1,0.000000e+00
t4,t2,0.000000e+00
t4,t3,0.000000e+00
t4,t4,0.000000e+00
t4,n1,0.000000e+00
t4,n2,0.000000e+00
t4,n3,0.000000e+00
t4,n4,0.000000e+00
t4,b1,0.000000e+00
t4,b2,0.000000e+00
t4,b3,0.000000e+00
t4,chem,2.488547e-01
t4,mat,3.634113e+00
t4,frb,0.000000e+00
t4,closure,7.202531e+00

n1,planck,1.414214e-99
n1,t1,0.000000e+00
n1,t2,0.000000e+00
n1,t3,0.000000e+00
n1,t4,0.000000e+00
n1,n1,0.000000e+00
n1,n2,0.000000e+00
n1,n3,0.000000e+00
n1,n4,0.000000e+00
n1,b1,0.000000e+00
n1,b2,0.000000e+00
n1,b3,0.000000e+00
n1,chem,2.488547e-01
n1,mat,3.634113e+00
n1,frb,0.000000e+00
n1,closure,7.202531e+00

n2,planck,1.414214e-99
n2,t1,0.000000e+00
n2,t2,0.000000e+00
n2,t3,0.000000e+00
n2,t4,0.000000e+00
n2,n1,0.000000e+00
n2,n2,0.000000e+00
n2,n3,0.000000e+00
n2,n4,0.000000e+00
n2,b1,0.000000e+00
n2,b2,0.000000e+00
