row,col,value
0,0,0.000000e+00
0,1,1.414214e-99
0,2,1.414214e-99
0,3,1.414214e-99
0,4,1.414214e-99
0,5,1.414214e-99
0,6,1.414214e-99
0,7,1.414214e-99
0,8,1.414214e-99
0,9,1.414214e-99
0,10,1.414214e-99
0,11,1.414214e-99
0,12,2.488547e-01
0,13,3.634113e+00
0,14,1.414214e-99
0,15,7.202531e+00

1,0,1.414214e-99
1,1,0.000000e+00
1,2,0.000000e+00
1,3,0.000000e+00
1,4,0.000000e+00
1,5,0.000000e+00
1,6,0.000000e+00
1,7,0.000000e+00
1,8,0.000000e+00
1,9,0.000000e+00
1,10,0.000000e+00
1,11,0.000000e+00
1,12,2.488547e-01
1,13,3.634113e+00
1,14,0.000000e+00
1,15,7.202531e+00

2,0,1.414214e-99
2,1,0.000000e+00
2,2,0.000000e+00
2,3,0.000000e+00
2,4,0.000000e+00
2,5,0.000000e+00
2,6,0.000000e+00
2,7,0.000000e+00
2,8,0.000000e+00
2,9,0.000000e+00
2,10,0.000000e+00
2,11,0.000000e+00
2,12,2.488547e-01
2,13,3.634113e+00
2,14,0.000000e+00
2,15,7.202531e+00

3,0,1.414214e-99
3,1,0.000000e+00
3,2,0.000000e+00
3,3,0.000000e+00
3,4,0.000000e+00
3,5,0.000000e+00
3,6,0.000000e+00
3,7,0.000000e+00
3,8,0.000000e+00
3,9,0.000000e+00
3,10,0.000000e+00
3,11,0.000000e+00
3,12,2.488547e-01
3,13,3.634113e+00
3,14,0.000000e+00
3,15,7.202531e+00

4,0,1.414214e-99
4,1,0.000000e+00
4,2,0.000000e+00
4,3,0.000000e+00
4,4,0.000000e+00
4,5,0.000000e+00
4,6,0.000000e+00
4,7,0.000000e+00
4,8,0.000000e+00
4,9,0.000000e+00
4,10,0.000000e+00
4,11,0.000000e+00
4,12,2.488547e-01
4,13,3.634113e+00
4,14,0.000000e+00
4,15,7.202531e+00

5,0,1.414214e-99
5,1,0.000000e+00
5,2,0.000000e+00
5,3,0.000000e+00
5,4,0.000000e+00
5,5,0.000000e+00
5,6,0.000000e+00
5,7,0.000000e+00
5,8,0.000000e+00
5,9,0.000000e+00
5,10,0.000000e+00
5,11,0.000000e+00
5,12,2.488547e-01
5,13,3.634113e+00
5,14,0.000000e+00
5,15,7.202531e+00

6,0,1.414214e-99
6,1,0.000000e+00
6,2,0.000000e+00
6,3,0.000000e+00
6,4,0.000000e+00
6,5,0.000000e+00
6,6,0.000000e+00
6,7,0.000000e+00
6,8,0.000000e+00
6,9,0.000000e+00
6,10,0.000000e+00
6,11,0.000000e+00
6,12,2.488547e-01
6,13,3.634113e+00
6,14,0.000000e+00
6,15,7.202531e+00

7,0,1.414214e-99
7,1,0.000000e+00
7,2,0.000000e+00
7,3,0.000000e+00
7,4,0.000000e+00
7,5,0.000000e+00
7,6,0.000000e+00
7,7,0.000000e+00
7,8,0.000000e+00
7,9,0.000000e+00
7,10,0.000000e+00
7,11,0.000000e+00
7,12,2.488547e-01
7,13,3.634113e+00
7,14,0.000000e+00
7,15,7.202531e+00

8,0,1.414214e-99
8,1,0.000000e+00
8,2,0.000000e+00
8,3,0.000000e+00
